datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2025-09-11;BORDEAUX METROPOLE;24330031600011;2025-07-22;2025/206;SUN CREATURE;88056649200026;Aide au fonctionnement;35000;Aide en numéraire;échelonné;2025-07-22 / 2026-01-22;sans objet;non;1.00;2025-07-22;;Autre objet;Entre 30 000€ et 100 000€
2025-09-11;BORDEAUX METROPOLE;24330031600011;2025-08-04;2025/123;France ACTIVE NA;82101368700024;Aide au fonctionnement;47500;Aide en numéraire;échelonné;2025-08-04 / 2026-02-04;sans objet;non;1.00;2025-08-04;;Autre objet;Entre 30 000€ et 100 000€
2025-09-11;BORDEAUX METROPOLE;24330031600011;2025-08-11;2025/147;FESTIVAL ODP;82343035000012;Aide au fonctionnement;40000;Aide en numéraire;échelonné;2025-08-11 / 2026-02-11;sans objet;non;1.00;2025-08-11;;Autre objet;Entre 30 000€ et 100 000€
2025-09-11;BORDEAUX METROPOLE;24330031600011;2025-07-17;2025/256;ATELIER BAINS DOUCHES;51063878600028;Aide au fonctionnement;29100;Aide en numéraire;échelonné;2025-07-17 / 2026-01-17;sans objet;non;1.00;2025-07-17;;Autre objet;Inférieur à 30 000€
2025-09-11;BORDEAUX METROPOLE;24330031600011;2025-06-26;2025/256;ADMAA;48956307200029;Aide à l'investissement;1500;Aide en numéraire;échelonné;2025-06-26 / 2025-12-26;sans objet;non;1.00;2025-06-26;;Autre objet;Inférieur à 30 000€
2025-09-11;BORDEAUX METROPOLE;24330031600011;2025-09-02;2025/206;CARMA FILMS;75400983500010;Aide au fonctionnement;30000;Aide en numéraire;échelonné;2025-09-02 / 2026-03-02;sans objet;non;1.00;2025-09-02;;Autre objet;Inférieur à 30 000€
2025-09-11;BORDEAUX METROPOLE;24330031600011;2024-12-20;2024/511;GBOBETO;84326967100015;AAP 2024-2025 SOLIDARITE DECHETS;60000;Aide en numéraire;échelonné;2024-12-20 / 2025-06-20;sans objet;non;1.00;2024-12-20;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-07-19;2025/215;BORDEAUX MON COMMERCE;52539664400029;Aide au fonctionnement;37000;Aide en numéraire;échelonné;2025-07-19 / 2026-01-19;sans objet;non;1.00;2025-07-19;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-09-26;2025/327;POLA;44433758800040;AAP CONTRAT DE VILLE;2000;Aide en numéraire;unique;2025-09-26 / 2026-03-26;sans objet;non;1.00;2025-09-26;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;ACTIONS INTER MEDIATION;42440458000070;AAP CONTRAT DE VILLE;9000;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;DEFI;41214436200032;AAP CONTRAT DE VILLE;6500;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-10-24;2025/456;CRIJ NOUVELLE AQUITAINE;30733663600039;Aide au fonctionnement;5000;Aide en numéraire;unique;2025-10-24 / 2026-04-24;sans objet;non;1.00;2025-10-24;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-10-31;2025/419;SEJOUR SPORTIF SOLIDAIRE;81147565600146;Aide au fonctionnement;20000;Aide en numéraire;unique;2025-10-31 / 2026-04-30;sans objet;non;1.00;2025-10-31;;Autre objet;Inférieur à 30 000€
